레시피명,재료,조리도구,레시피,식사/간식,링크,기본 조리도구,추가 조리도구
카레 크림 리조또 ,"카레가루 2.5T, 우유 1~1.5컵, 베이컨 3줄, 양파 1/3컵, 밥 1인분, 물, 식용유 ","칼, 도마, 프라이팬 ","1. 양파와 베이컨은 잘게 자르고 냄비에 우유와 물을 넣는다.
2. 물이랑 물이 끓어 오르면 카레가루를 넣고 졸인다.
3. 걸죽하게 줄어들면 3분간 더 졸여주면 완성",식사,,,
치즈밥,"고추장 1스푼, 설탕 0.5스푼, 케첩 1스푼, 스위트콘 2스푼, 스팸 반캔, 피자치즈, 밥 1인분 ","칼, 도마, 프라이팬, 그릇","1.그릇에 고추장, 케첩, 설탕을 넣고 섞어 양념장을 만들어준다.
2. 스팸은 작게 썰어주고 냄비에 참기름을 둘러준다.
3. 그 위에 밥, 스팸 스위트콘, 양념장을 넣고 잘 볶아 줍니다.
4, 마무리로 피자치즈를 듬뿍 올려 치즈를 녹여주면 완성
",식사,,,
메추리알 소세지 볶음 ,"비엔나소시지 100g, 메추리알 약 10개, 양파 1/4개, 간마늘 0.5스푼, 굴소스 1스푼, 케첩 1스푼, 후추 약간, 소금 1꼬집, 식용유","칼, 도마, 후라이팬 ","1.소세지에 칼집을 내고, 양파를 깍둑 썰기 해준다.
2. 식용유를 두른 팬에 소세지와 양파를 굽다가 간마늘, 굴소스, 케첩, 후추, 소금를 넣고 볶는다.
3. 거의 다 익었을 때 메추리알을 넣고 볶아주면 완성 
",식사,,,
간장 비빔 국수,"소면 1인분, 계란, 간장 1스푼, 설탕 1스푼, 맛술 0.5스푼, 참기름 0.5스푼,, 깨소금 조금 ","
프라이팬","1.소면을 삶아 찬 물에 헹구고 물기를 짠다.
2. 간장, 설탕, 맛술, 참기름, 꺠소금을 섞어 양념장을 만든다.
3, 소면과 양념장을 골고루 섞고 달걀 노른자를 올리면 완성
",식사,,,
간단 샤브샤브 ,"양배추 3장, 청경채, 팽이버섯, 숙주 한줌 or 집에 남은 야채, 대패 목살, 물 300ml, 다진 마늘 0.5스푼, 후추 코인육수 1아르 진간장 1스푼",전자레인지 ,"1.전자레인지에 집에 있거나 준비된 야채와 고기를 넣고 물 300ml 붓는다.
2.다진마늘,진간장,후추를 넣고 코인 육수를 부순 후 넣는다.
3.뚜껑을 덮고 전자레인지에 6분 돌린다
4. 기호에 맞게 칠리소스나 간장에 찍어먹으면 완성 
",식사,    ,,
우삼겹 숙주 볶음 ,"우삼겹 300g, 숙주 한 줌, 대파 1/3대, 양파 1/4개, 청양고추(생략가능), 진간장 1.5스푼,  맛술 1스푼, 설탕 1스푼, 굴소스, 1스푼, 고춧가루 1스푼",프라이팬,"1.양파를 길게 썰어주고, 대파와 청양고추를 작게 썬다.
2.프라이팬에 우삼겹을 소금과 후추 약간 넣어 밑간을 하고 노릇하게 굽는다.
3. 남은 기름에 중불로 다진 마늘, 대파를 넣고 볶다가 약불로 고춧가루를 넣고 고추기름을 낸다
4. 양파, 고추, 숙주, 진간장, 굴소스, 맛술, 설탕을 넣고 숙주가 숨 죽을 때까지 볶는다.
5. 고기를 넣고 더 볶아준다음 참깨를 뿌려 완성 
",식사,,,
우삼겹 야채찜,"우삼겹, 간장 1스푼, 식초 1스푼, 참기름 0.5스푼, 고춧가루 0.5스푼, 알배추, 청경채, 숙주 / 맛술(소주) 0.5스푼, 후추",전자레인지,"1. 간장 1T, 식초 1T, 참기름 0.5T, 고춧가루 0.5T를 섞어 찍어먹을 소스를 만들어 준다
 2. 찜기 위에 알배추, 청경채, 우삼겹, 숙주 순으로 쌓아 전자레인지에 10분 동안 돌려 주면 완성 *잡내에 예민하다면 후추를 취향껏 넣고, 맛술 또는 소주 0.5T를 넣어준다",식사,,,
전자레인지 계란찜,"계란 2개, 물 150ml, 참기름, 소금 0.5스푼, *후추",전자레인지,"1. 작은 그릇 또는 찜기에 계란을 풀어 준다
 2. 푼 계란 안에 물 150ml, 참기름 한 방울, 소금 0.5T, 후추는 취향껏 넣고 섞어 준다
 3. 전자레인지에 7분 30초 동안 돌려 주면 완성",식사,,,
꿀소금빵,"소금빵 1개, 꿀 약간",에어프라이기,"1. 소금빵을 에어프라이기에 돌려 준다
 2. 따뜻한 소금빵 위쪽에 살짝 구멍을 뚫고 소금빵 내부 구멍 안으로 꿀을 1T 넣어주면 완성",간식,,,
삼겹살 덮밥,"삼겹살 300g, 소금 약간, 후추 약간, 굴소스 1스푼, 진간장 1스푼, 맛술 1스푼, 물엿/설탕 1스푼, 다진 마늘 1스푼, 양배추, 양파/파채, 밥, 계란 1개",프라이팬,"1. 삼겹살 300g을 소금과 후추를 조금 뿌려 구워준다
 2. 구워놓은 삼겹살 위에 굴소스 1T, 진간장 1T, 맛술 1T, 물엿/설탕 1T, 다진마늘 1T를 넣어 볶아준다
 3. 그릇에 밥을 담는다
 4. 밥 위에 구워놓은 고기를 올려둔다 
 5. 고기 기름에 양배추, 양파를 채 썰어 넣어 볶아준다
 6. 밥 위에 양배추와 양파 볶음도 올려 준다
 7. 밥 위에 계란노른자를 올려 주면 완성",식사,,,
